amount_inr,payment_method,bank,failure_reason,day_of_month,customer_past_failures,customer_tenure_days,is_salary_window,high_value_txn,repeat_failer,actual_recovered,recovery_score,recommended_action,expected_value_inr,reasoning,retry_date,customer_message
2323.94,Netbanking,Yes Bank,network_error,10,1,185,0,0,0,0,0.891828,RETRY_NOW,2070.55,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
798.55,Credit Card,Yes Bank,network_error,28,1,380,1,0,0,1,0.89028937,RETRY_NOW,708.94,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2922.25,Credit Card,Yes Bank,network_error,17,1,209,0,0,0,1,0.8894783,RETRY_NOW,2597.28,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
262.92,Netbanking,HDFC,network_error,9,2,824,0,0,0,1,0.88913816,RETRY_NOW,231.77,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
584.9,Debit Card,PNB,network_error,24,1,665,0,0,0,1,0.88894767,RETRY_NOW,517.95,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1592.67,Credit Card,Axis,network_error,5,1,147,1,0,0,1,0.88851184,RETRY_NOW,1413.11,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
909.01,Wallet,IDFC,network_error,20,1,352,0,0,0,1,0.8875426,RETRY_NOW,804.79,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1896.08,UPI,HDFC,network_error,6,2,351,0,0,0,1,0.8875385,RETRY_NOW,1680.84,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
3926.73,Debit Card,Kotak,network_error,28,2,459,1,0,0,1,0.88501,RETRY_NOW,3473.2,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1720.39,UPI,PNB,network_error,12,0,695,0,0,0,1,0.8842092,RETRY_NOW,1519.18,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
800.17,Credit Card,Axis,network_error,30,1,690,1,0,0,1,0.8820199,RETRY_NOW,703.77,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
502.85,Wallet,Kotak,network_error,31,1,354,1,0,0,1,0.88114345,RETRY_NOW,441.08,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
159.12,Debit Card,IDFC,network_error,20,0,533,0,0,0,0,0.8770979,RETRY_NOW,137.56,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
4298.07,Credit Card,ICICI,network_error,12,2,145,0,0,0,0,0.87561584,RETRY_NOW,3761.46,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
717.95,Wallet,Kotak,network_error,4,1,503,1,0,0,1,0.87454903,RETRY_NOW,625.88,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2272.9,Debit Card,SBI,network_error,14,0,519,0,0,0,0,0.8740005,RETRY_NOW,1984.52,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
496.19,Wallet,PNB,bank_timeout,27,1,834,0,0,0,0,0.87340456,RETRY_NOW,431.37,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
470.79,Wallet,Kotak,network_error,18,1,389,0,0,0,0,0.87275547,RETRY_NOW,408.88,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
130.79,Netbanking,Kotak,bank_timeout,30,2,389,1,0,0,1,0.87235975,RETRY_NOW,112.1,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
862.89,Wallet,Yes Bank,network_error,5,0,47,1,0,0,1,0.8721092,RETRY_NOW,750.53,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
671.75,Netbanking,HDFC,bank_timeout,21,3,835,0,0,1,1,0.87158144,RETRY_NOW,583.48,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
125.8,UPI,SBI,network_error,3,0,176,1,0,0,1,0.8714957,RETRY_NOW,107.63,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
359.95,Netbanking,IDFC,network_error,28,0,860,1,0,0,1,0.87128264,RETRY_NOW,311.62,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
628.28,Credit Card,IDFC,network_error,22,1,758,0,0,0,0,0.8710108,RETRY_NOW,545.24,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
894.28,Credit Card,PNB,network_error,5,1,327,1,0,0,1,0.870475,RETRY_NOW,776.45,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
434.22,Debit Card,Axis,network_error,30,1,572,1,0,0,1,0.8690479,RETRY_NOW,375.36,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1215.81,Netbanking,HDFC,network_error,16,0,822,0,0,0,1,0.868987,RETRY_NOW,1054.52,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1249.85,Credit Card,Yes Bank,network_error,16,1,474,0,0,0,1,0.8687032,RETRY_NOW,1083.75,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
4013.23,Credit Card,Axis,network_error,21,2,781,0,0,0,1,0.8678985,RETRY_NOW,3481.08,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2187.57,Wallet,IDFC,network_error,26,1,292,0,0,0,1,0.86674833,RETRY_NOW,1894.07,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1877.6,Netbanking,SBI,network_error,21,0,164,0,0,0,1,0.8666682,RETRY_NOW,1625.26,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
358.83,Netbanking,HDFC,network_error,18,1,666,0,0,0,1,0.864904,RETRY_NOW,308.35,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
4103.57,Debit Card,Yes Bank,network_error,10,1,268,0,0,0,1,0.8646178,RETRY_NOW,3546.02,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
5804.26,Netbanking,ICICI,insufficient_funds,30,0,513,1,0,0,0,0.86396426,RETRY_SCHEDULED,5012.67,Insufficient Funds recovers best after a 4-day delay (e.g. next salary credit).,Sep 02,We'll retry your payment on Sep 02. You can also pay now via a different method.
724.67,Wallet,ICICI,network_error,6,0,387,0,0,0,1,0.86355215,RETRY_NOW,623.79,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
831.83,Wallet,HDFC,bank_timeout,31,1,388,1,0,0,1,0.86342883,RETRY_NOW,716.23,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1291.33,Credit Card,Yes Bank,network_error,28,1,500,1,0,0,1,0.8629612,RETRY_NOW,1112.37,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
279.66,Credit Card,Yes Bank,bank_timeout,18,1,811,0,0,0,1,0.8628888,RETRY_NOW,239.32,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
325.73,Netbanking,IDFC,network_error,27,0,498,0,0,0,1,0.86261797,RETRY_NOW,278.98,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
300.93,Netbanking,ICICI,bank_timeout,9,1,616,0,0,0,1,0.86235553,RETRY_NOW,257.51,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
3516.11,UPI,Axis,network_error,23,0,627,0,0,0,1,0.8610433,RETRY_NOW,3025.52,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
178.76,Debit Card,Kotak,network_error,24,1,618,0,0,0,1,0.86103237,RETRY_NOW,151.92,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1266.25,Netbanking,Yes Bank,network_error,14,1,379,0,0,0,0,0.86078465,RETRY_NOW,1087.97,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
642.67,Debit Card,ICICI,bank_timeout,22,2,809,0,0,0,1,0.8606303,RETRY_NOW,551.1,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2655.19,Debit Card,Axis,network_error,25,2,407,0,0,0,1,0.86061925,RETRY_NOW,2283.11,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1777.08,Netbanking,HDFC,network_error,29,2,614,1,0,0,1,0.8596106,RETRY_NOW,1525.6,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
433.96,Credit Card,SBI,network_error,19,1,488,0,0,0,1,0.8560635,RETRY_NOW,369.5,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1219.85,Credit Card,Yes Bank,network_error,15,1,881,0,0,0,1,0.85482633,RETRY_NOW,1040.76,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
578.14,Debit Card,PNB,network_error,28,1,615,1,0,0,1,0.85366863,RETRY_NOW,491.54,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
123.78,Wallet,ICICI,network_error,14,1,222,0,0,0,0,0.8534866,RETRY_NOW,103.64,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
743.28,Netbanking,ICICI,bank_timeout,10,1,670,0,0,0,0,0.852915,RETRY_NOW,631.95,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1018.33,UPI,ICICI,network_error,10,1,237,0,0,0,1,0.85264665,RETRY_NOW,866.28,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
234.53,Wallet,IDFC,network_error,13,1,175,0,0,0,1,0.8525736,RETRY_NOW,197.95,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
722.25,Credit Card,Yes Bank,network_error,3,2,494,1,0,0,1,0.85098857,RETRY_NOW,612.63,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
597.55,Credit Card,Yes Bank,bank_timeout,9,0,507,0,0,0,1,0.85064125,RETRY_NOW,506.3,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1610.09,Wallet,Kotak,network_error,3,2,142,1,0,0,1,0.8505652,RETRY_NOW,1367.49,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
666.22,Credit Card,PNB,bank_timeout,18,1,212,0,0,0,1,0.85030574,RETRY_NOW,564.49,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1002.4,Netbanking,SBI,bank_timeout,9,0,383,0,0,0,1,0.84995097,RETRY_NOW,849.99,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1437.79,Netbanking,SBI,bank_timeout,28,2,824,1,0,0,1,0.8497968,RETRY_NOW,1219.83,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
957.48,Credit Card,SBI,bank_timeout,8,1,620,0,0,0,1,0.8473854,RETRY_NOW,809.35,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
274.27,UPI,IDFC,network_error,14,2,165,0,0,0,1,0.8462155,RETRY_NOW,230.09,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1763.59,UPI,Yes Bank,network_error,1,2,221,1,0,0,1,0.84605616,RETRY_NOW,1490.1,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1794.27,Credit Card,SBI,network_error,1,0,445,1,0,0,1,0.8448074,RETRY_NOW,1513.81,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2226.8,Wallet,Kotak,network_error,1,0,738,1,0,0,1,0.8446942,RETRY_NOW,1878.97,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1229.33,Netbanking,SBI,bank_timeout,11,0,785,0,0,0,1,0.84462875,RETRY_NOW,1036.33,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
772.29,UPI,SBI,network_error,22,1,491,0,0,0,1,0.8445623,RETRY_NOW,650.25,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
109.62,Debit Card,SBI,insufficient_funds,5,1,545,1,0,0,1,0.84450936,RETRY_SCHEDULED,90.58,Insufficient Funds recovers best after a 4-day delay (e.g. next salary credit).,Sep 02,We'll retry your payment on Sep 02. You can also pay now via a different method.
4351.62,Netbanking,PNB,bank_timeout,22,1,190,0,0,0,1,0.84411454,RETRY_NOW,3671.27,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
417.15,UPI,HDFC,network_error,27,2,758,0,0,0,1,0.84390026,RETRY_NOW,350.03,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
858.08,Wallet,HDFC,network_error,13,0,358,0,0,0,1,0.84345526,RETRY_NOW,721.75,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1252.66,Wallet,Kotak,network_error,13,1,328,0,0,0,0,0.8432648,RETRY_NOW,1054.32,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
77.04,Wallet,IDFC,network_error,29,0,756,1,0,0,1,0.8431879,RETRY_NOW,62.96,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
321.61,UPI,Axis,network_error,16,1,288,0,0,0,1,0.8430196,RETRY_NOW,269.12,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1020.0,Wallet,SBI,bank_timeout,15,2,173,0,0,0,1,0.84239936,RETRY_NOW,857.25,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2615.25,Wallet,Yes Bank,bank_timeout,24,0,559,0,0,0,1,0.8422791,RETRY_NOW,2200.77,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
114.14,Netbanking,Yes Bank,network_error,22,1,214,0,0,0,1,0.84190506,RETRY_NOW,94.1,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1506.04,Wallet,SBI,network_error,11,0,105,0,0,0,0,0.83912957,RETRY_NOW,1261.76,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
4531.91,Credit Card,HDFC,bank_timeout,24,1,428,0,0,0,1,0.83901525,RETRY_NOW,3800.34,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
118.14,Debit Card,Kotak,network_error,12,0,281,0,0,0,1,0.83880806,RETRY_NOW,97.1,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1160.31,Wallet,Axis,network_error,19,1,521,0,0,0,1,0.83793235,RETRY_NOW,970.26,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1533.76,Wallet,PNB,network_error,18,0,519,0,0,0,1,0.8376731,RETRY_NOW,1282.79,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
87.69,Debit Card,SBI,bank_timeout,30,2,834,1,0,0,1,0.8374594,RETRY_NOW,71.44,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
353.9,UPI,IDFC,network_error,25,0,501,0,0,0,1,0.83639044,RETRY_NOW,294.0,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
292.42,Wallet,Yes Bank,bank_timeout,20,1,405,0,0,0,0,0.8358654,RETRY_NOW,242.42,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
805.52,Credit Card,PNB,bank_timeout,15,2,837,0,0,0,1,0.83565956,RETRY_NOW,671.14,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1079.36,Netbanking,PNB,network_error,7,2,270,0,0,0,1,0.8354147,RETRY_NOW,899.71,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1438.12,Netbanking,IDFC,bank_timeout,27,1,555,0,0,0,1,0.835092,RETRY_NOW,1198.96,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1503.48,Credit Card,PNB,network_error,5,2,631,1,0,0,1,0.834415,RETRY_NOW,1252.53,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
159.58,Netbanking,PNB,bank_timeout,13,2,431,0,0,0,1,0.83372074,RETRY_NOW,131.05,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2215.01,Netbanking,IDFC,network_error,1,3,726,1,0,1,0,0.83348066,RETRY_NOW,1844.17,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
112.32,Netbanking,Yes Bank,bank_timeout,23,1,138,0,0,0,1,0.83335483,RETRY_NOW,91.6,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
280.72,Wallet,Yes Bank,bank_timeout,1,2,754,1,0,0,1,0.8329761,RETRY_NOW,231.83,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
4866.01,Wallet,HDFC,network_error,10,2,293,0,0,0,1,0.8323912,RETRY_NOW,4048.42,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
698.97,Credit Card,ICICI,network_error,20,0,530,0,0,0,0,0.83222216,RETRY_NOW,579.7,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
326.41,Credit Card,Yes Bank,bank_timeout,13,2,578,0,0,0,1,0.83220416,RETRY_NOW,269.64,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1155.02,Netbanking,Kotak,network_error,1,0,521,1,0,0,1,0.8321954,RETRY_NOW,959.2,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
720.46,Debit Card,IDFC,bank_timeout,24,2,890,0,0,0,1,0.83170414,RETRY_NOW,597.21,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1541.59,UPI,ICICI,network_error,17,2,250,0,0,0,1,0.83052665,RETRY_NOW,1278.33,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
752.3,UPI,Axis,network_error,1,1,345,1,0,0,1,0.8303862,RETRY_NOW,622.7,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
390.98,Netbanking,IDFC,bank_timeout,11,1,306,0,0,0,1,0.83009875,RETRY_NOW,322.55,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
740.41,Wallet,Kotak,bank_timeout,14,1,463,0,0,0,1,0.82959735,RETRY_NOW,612.24,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
301.23,Wallet,ICICI,bank_timeout,18,1,679,0,0,0,0,0.8286822,RETRY_NOW,247.62,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
700.47,UPI,ICICI,network_error,1,2,95,1,0,0,1,0.82773226,RETRY_NOW,577.8,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
3443.5,Credit Card,HDFC,network_error,5,0,153,1,0,0,0,0.82766336,RETRY_NOW,2848.06,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
343.92,UPI,SBI,network_error,8,0,254,0,0,0,1,0.82754487,RETRY_NOW,282.61,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
278.58,Credit Card,Kotak,bank_timeout,22,2,664,0,0,0,0,0.82738775,RETRY_NOW,228.49,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1001.06,UPI,HDFC,network_error,10,0,550,0,0,0,1,0.826971,RETRY_NOW,825.85,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
779.03,UPI,IDFC,network_error,16,1,890,0,0,0,1,0.82646394,RETRY_NOW,641.84,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
2612.43,Netbanking,PNB,network_error,2,2,412,1,0,0,1,0.8264023,RETRY_NOW,2156.92,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
615.8,Credit Card,Axis,bank_timeout,23,0,764,0,0,0,1,0.8259573,RETRY_NOW,506.62,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1287.35,Wallet,HDFC,network_error,20,0,618,0,0,0,1,0.82578766,RETRY_NOW,1061.08,Network Error is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
762.32,Netbanking,Kotak,bank_timeout,13,1,790,0,0,0,1,0.8254037,RETRY_NOW,627.22,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
1189.15,Debit Card,SBI,bank_timeout,7,0,374,0,0,0,1,0.8253056,RETRY_NOW,979.41,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
3087.93,Credit Card,HDFC,bank_timeout,25,1,714,0,0,0,1,0.8251828,RETRY_NOW,2546.11,Bank Timeout is usually transient — high chance of success on immediate retry.,,We'll automatically retry your payment shortly — no action needed.
